"","ASV","taxon","taxonomic_level"
"642","ASV_0590","Gadidae","family"
"643","ASV_0593","Oncorhynchus","genus"
"644","ASV_0594","Lycodes","genus"
"645","ASV_0595","Gadidae","family"
"646","ASV_0597","Clupea pallasii","species"
"647","ASV_0597","Clupea harengus","species"
"648","ASV_0597","Sprattus sprattus","species"
"649","ASV_0598","Oncorhynchus","genus"
"650","ASV_0599","Oncorhynchus","genus"
"651","ASV_0600","Gadus chalcogrammus","species"
"652","ASV_0601","Eleginus gracilis","species"
"653","ASV_0601","Microgadus tomcod","species"
"654","ASV_0603","Stichaeidae","family"
"655","ASV_0606","Gadidae","family"
"656","ASV_0607","Oncorhynchus","genus"
"657","ASV_0608","Gadidae","family"
"658","ASV_0610","Oligocottus","genus"
"659","ASV_0612","Mallotus villosus","species"
"660","ASV_0613","Clupea pallasii","species"
"661","ASV_0613","Clupea harengus","species"
"662","ASV_0613","Sprattus sprattus","species"
"663","ASV_0614","Clupea pallasii","species"
"664","ASV_0614","Clupea harengus","species"
"665","ASV_0614","Sprattus sprattus","species"
"666","ASV_0615","Clupea pallasii","species"
"667","ASV_0615","Clupea harengus","species"
"668","ASV_0615","Sprattus sprattus","species"
"669","ASV_0616","Gadidae","family"
"670","ASV_0618","Oncorhynchus","genus"
"671","ASV_0619","Perciformes","order"
"672","ASV_0620","Clupea pallasii","species"
"673","ASV_0620","Clupea harengus","species"
"674","ASV_0620","Sprattus sprattus","species"
"675","ASV_0621","Gadus chalcogrammus","species"
"676","ASV_0622","Oncorhynchus","genus"
"677","ASV_0627","Clupea pallasii","species"
"678","ASV_0628","Oncorhynchus tshawytscha","species"
"679","ASV_0629","Gadidae","family"
"680","ASV_0630","Oncorhynchus","genus"
"681","ASV_0631","Oncorhynchus","genus"
"682","ASV_0632","Oncorhynchus","genus"
"683","ASV_0633","Gadidae","family"
"684","ASV_0635","Gasterosteus aculeatus","species"
"685","ASV_0636","Osmerus mordax","species"
"686","ASV_0637","Liparis","genus"
"687","ASV_0637","Polypera greeni","species"
"688","ASV_0638","Oncorhynchus kisutch","species"
"689","ASV_0640","Gadus chalcogrammus","species"
"690","ASV_0645","Oncorhynchus","genus"
"691","ASV_0646","Gadus","genus"
"692","ASV_0647","Clupea pallasii","species"
"693","ASV_0647","Clupea harengus","species"
"694","ASV_0647","Sprattus sprattus","species"
"695","ASV_0648","Oncorhynchus","genus"
"696","ASV_0649","Gadidae","family"
"697","ASV_0650","Pleuronectidae","family"
"698","ASV_0651","Oncorhynchus tshawytscha","species"
"699","ASV_0652","Eleginus gracilis","species"
"700","ASV_0655","Gadus","genus"
"701","ASV_0656","Oncorhynchus","genus"
"702","ASV_0657","Gadidae","family"
"703","ASV_0658","Gadidae","family"
"704","ASV_0659","Gadidae","family"
"705","ASV_0660","Oncorhynchus","genus"
"706","ASV_0661","Oncorhynchus","genus"
"707","ASV_0662","Oncorhynchus kisutch","species"
"708","ASV_0663","Occella dodecaedron","species"
"709","ASV_0663","Tilesina gibbosa","species"
"710","ASV_0663","Occella iburia","species"
"711","ASV_0664","Gadidae","family"
"712","ASV_0665","Gadidae","family"
"713","ASV_0666","Clupea pallasii","species"
"714","ASV_0666","Clupea harengus","species"
"715","ASV_0666","Sprattus sprattus","species"
"716","ASV_0667","Gadidae","family"
"717","ASV_0668","Mallotus villosus","species"
"718","ASV_0669","Eleginus gracilis","species"
"719","ASV_0670","Oncorhynchus kisutch","species"
"720","ASV_0671","Oncorhynchus","genus"
"721","ASV_0672","Clupea pallasii","species"
"722","ASV_0672","Clupea harengus","species"
"723","ASV_0672","Sprattus sprattus","species"
"724","ASV_0674","Oncorhynchus tshawytscha","species"
"725","ASV_0675","Gadidae","family"
"726","ASV_0676","Clupea pallasii","species"
"727","ASV_0676","Clupea harengus","species"
"728","ASV_0676","Sprattus sprattus","species"
"729","ASV_0677","Pleuronectidae","family"
"730","ASV_0678","Oncorhynchus kisutch","species"
"731","ASV_0679","Pleuronectidae","family"
"732","ASV_0680","Clupea pallasii","species"
"733","ASV_0680","Clupea harengus","species"
"734","ASV_0680","Sprattus sprattus","species"
"735","ASV_0682","Stichaeus punctatus","species"
"736","ASV_0684","Gymnelus hemifasciatus","species"
"737","ASV_0685","Clupea pallasii","species"
"738","ASV_0685","Clupea harengus","species"
"739","ASV_0685","Sprattus sprattus","species"
"740","ASV_0686","Gadidae","family"
"741","ASV_0687","Pleuronectidae","family"
"742","ASV_0692","Oncorhynchus","genus"
"743","ASV_0695","Gadus chalcogrammus","species"
"744","ASV_0696","Gadidae","family"
"745","ASV_0697","Oncorhynchus","genus"
"746","ASV_0698","Gadidae","family"
"747","ASV_0699","Stichaeidae","family"
"748","ASV_0700","Gadidae","family"
"749","ASV_0701","Lycodes squamiventer","species"
"750","ASV_0703","Gadidae","family"
"751","ASV_0704","Pleuronectidae","family"
"752","ASV_0705","Gadidae","family"
"753","ASV_0706","Clupea pallasii","species"
"754","ASV_0706","Clupea harengus","species"
"755","ASV_0706","Sprattus sprattus","species"
"756","ASV_0707","Oncorhynchus","genus"
"757","ASV_0708","Eleginus gracilis","species"
"758","ASV_0709","Oncorhynchus","genus"
"759","ASV_0710","Clupea pallasii","species"
"760","ASV_0710","Clupea harengus","species"
"761","ASV_0710","Sprattus sprattus","species"
"762","ASV_0711","Oncorhynchus","genus"
"763","ASV_0712","Gadidae","family"
"764","ASV_0713","Pleuronectidae","family"
"765","ASV_0715","Clupea pallasii","species"
"766","ASV_0715","Clupea harengus","species"
"767","ASV_0715","Sprattus sprattus","species"
"768","ASV_0716","Gadidae","family"
"769","ASV_0717","Oncorhynchus tshawytscha","species"
"770","ASV_0718","Cyclopteridae","family"
"771","ASV_0719","Gadus chalcogrammus","species"
"772","ASV_0720","Gadidae","family"
"773","ASV_0721","Oncorhynchus tshawytscha","species"
"774","ASV_0722","Eleginus gracilis","species"
"775","ASV_0725","Gadidae","family"
"776","ASV_0726","Gadidae","family"
"777","ASV_0727","Oncorhynchus tshawytscha","species"
"778","ASV_0730","Gadidae","family"
"779","ASV_0731","Clupea pallasii","species"
"780","ASV_0731","Clupea harengus","species"
"781","ASV_0731","Sprattus sprattus","species"
"782","ASV_0732","Oncorhynchus","genus"
"783","ASV_0733","Pleuronectidae","family"
"784","ASV_0734","Gadidae","family"
"785","ASV_0735","Oncorhynchus","genus"
"786","ASV_0736","Oncorhynchus","genus"
"787","ASV_0737","Pleuronectidae","family"
"788","ASV_0738","Clupea harengus","species"
"789","ASV_0738","Clupea pallasii","species"
"790","ASV_0738","Sprattus sprattus","species"
"791","ASV_0739","Mallotus villosus","species"
"792","ASV_0740","Oncorhynchus","genus"
"793","ASV_0741","Pleuronectidae","family"
"794","ASV_0742","Lycodes sigmatoides","species"
"795","ASV_0742","Lycodes tanakae","species"
"796","ASV_0742","Lycodes polaris","species"
"797","ASV_0743","Oncorhynchus","genus"
"798","ASV_0744","Gadidae","family"
"799","ASV_0745","Pleuronectidae","family"
"800","ASV_0746","Oncorhynchus","genus"
"801","ASV_0747","Ammodytes","genus"
"802","ASV_0749","Pusa hispida","species"
"803","ASV_0749","Pusa sibirica","species"
"804","ASV_0750","Gadus chalcogrammus","species"
"805","ASV_0750","Gadus morhua","species"
"806","ASV_0751","Pleuronectidae","family"
"807","ASV_0753","Pleuronectidae","family"
"808","ASV_0754","Gadus","genus"
"809","ASV_0755","Oncorhynchus","genus"
"810","ASV_0756","Oncorhynchus","genus"
"811","ASV_0757","Anoplarchus","genus"
"812","ASV_0758","Clupea pallasii","species"
"813","ASV_0758","Clupea harengus","species"
"814","ASV_0758","Sprattus sprattus","species"
"815","ASV_0759","Clupea pallasii","species"
"816","ASV_0759","Clupea harengus","species"
"817","ASV_0759","Sprattus sprattus","species"
"818","ASV_0763","Gadidae","family"
"819","ASV_0764","Blepsias bilobus","species"
"820","ASV_0765","Gadidae","family"
"821","ASV_0767","Ammodytes","genus"
"822","ASV_0768","Oncorhynchus tshawytscha","species"
"823","ASV_0769","Gadidae","family"
"824","ASV_0771","Clupea pallasii","species"
"825","ASV_0771","Clupea harengus","species"
"826","ASV_0771","Sprattus sprattus","species"
"827","ASV_0772","Clupea pallasii","species"
"828","ASV_0772","Clupea harengus","species"
"829","ASV_0772","Sprattus sprattus","species"
"830","ASV_0773","Gasterosteus aculeatus","species"
"831","ASV_0774","Eleginus gracilis","species"
"832","ASV_0775","Gadidae","family"
"833","ASV_0776","Eleginus gracilis","species"
"834","ASV_0777","Oncorhynchus tshawytscha","species"
"835","ASV_0778","Ammodytes","genus"
"836","ASV_0781","Oncorhynchus","genus"
"837","ASV_0782","Clupea harengus","species"
"838","ASV_0782","Clupea pallasii","species"
"839","ASV_0782","Sprattus sprattus","species"
"840","ASV_0784","Oncorhynchus","genus"
"841","ASV_0785","Oncorhynchus","genus"
"842","ASV_0786","Clupea pallasii","species"
"843","ASV_0786","Clupea harengus","species"
"844","ASV_0786","Sprattus sprattus","species"
"845","ASV_0787","Clupea pallasii","species"
"846","ASV_0787","Clupea harengus","species"
"847","ASV_0787","Sprattus sprattus","species"
"848","ASV_0788","Clupea pallasii","species"
"849","ASV_0788","Clupea harengus","species"
"850","ASV_0788","Sprattus sprattus","species"
"851","ASV_0789","Pleuronectidae","family"
"852","ASV_0790","Oncorhynchus tshawytscha","species"
"853","ASV_0792","Oncorhynchus","genus"
"854","ASV_0793","Clupea pallasii","species"
"855","ASV_0793","Clupea harengus","species"
"856","ASV_0793","Sprattus sprattus","species"
"857","ASV_0794","Ammodytes","genus"
"858","ASV_0795","Pleuronectidae","family"
"859","ASV_0796","Gadus chalcogrammus","species"
"860","ASV_0797","Gadidae","family"
"861","ASV_0798","Stichaeidae","family"
"862","ASV_0799","Eleginus gracilis","species"
"863","ASV_0800","Oncorhynchus","genus"
"864","ASV_0801","Oncorhynchus","genus"
"865","ASV_0802","Oncorhynchus","genus"
"866","ASV_0803","Gadus","genus"
"867","ASV_0804","Eleginus gracilis","species"
"868","ASV_0805","Clupea pallasii","species"
"869","ASV_0805","Clupea harengus","species"
"870","ASV_0805","Sprattus sprattus","species"
"871","ASV_0806","Gadidae","family"
"872","ASV_0807","Lycodes","genus"
"873","ASV_0808","Osmerus mordax","species"
"874","ASV_0810","Oncorhynchus tshawytscha","species"
"875","ASV_0812","Gadus","genus"
"876","ASV_0813","Pleuronectidae","family"
"877","ASV_0814","Gadidae","family"
"878","ASV_0815","Gadus","genus"
"879","ASV_0816","Pleuronectidae","family"
"880","ASV_0817","Oncorhynchus kisutch","species"
"881","ASV_0818","Eleginus gracilis","species"
"882","ASV_0819","Gasterosteus aculeatus","species"
"883","ASV_0819","Gasterosteus nipponicus","species"
"884","ASV_0820","Gadidae","family"
"885","ASV_0821","Oncorhynchus","genus"
"886","ASV_0822","Gadidae","family"
"887","ASV_0825","Clupea pallasii","species"
"888","ASV_0825","Clupea harengus","species"
"889","ASV_0825","Sprattus sprattus","species"
"890","ASV_0826","Oncorhynchus","genus"
"891","ASV_0828","Clupea pallasii","species"
"892","ASV_0828","Clupea harengus","species"
"893","ASV_0828","Sprattus sprattus","species"
"894","ASV_0831","Oncorhynchus tshawytscha","species"
"895","ASV_0832","Gadidae","family"
"896","ASV_0833","Clupea pallasii","species"
"897","ASV_0833","Clupea harengus","species"
"898","ASV_0833","Sprattus sprattus","species"
"899","ASV_0834","Clupea pallasii","species"
"900","ASV_0834","Clupea harengus","species"
"901","ASV_0834","Sprattus sprattus","species"
"902","ASV_0835","Oncorhynchus tshawytscha","species"
"903","ASV_0836","Oncorhynchus tshawytscha","species"
"904","ASV_0837","Oncorhynchus","genus"
"905","ASV_0838","Pleuronectidae","family"
"906","ASV_0839","Gadidae","family"
"907","ASV_0840","Oncorhynchus","genus"
"908","ASV_0841","Pleuronectidae","family"
"909","ASV_0842","Osmerus mordax","species"
"910","ASV_0843","Oncorhynchus","genus"
"911","ASV_0844","Hemilepidotus","genus"
"912","ASV_0845","Ammodytes","genus"
"913","ASV_0846","Aspidophoroides monopterygius","species"
"914","ASV_0847","Eleginus gracilis","species"
"915","ASV_0848","Gadidae","family"
"916","ASV_0849","Oncorhynchus tshawytscha","species"
"917","ASV_0852","Gadidae","family"
"918","ASV_0853","Oncorhynchus","genus"
"919","ASV_0854","Stichaeidae","family"
"920","ASV_0855","Oncorhynchus tshawytscha","species"
"921","ASV_0856","Clupea pallasii","species"
"922","ASV_0856","Clupea harengus","species"
"923","ASV_0856","Sprattus sprattus","species"
"924","ASV_0857","Clupea pallasii","species"
"925","ASV_0857","Clupea harengus","species"
"926","ASV_0857","Sprattus sprattus","species"
"927","ASV_0858","Clupea pallasii","species"
"928","ASV_0858","Clupea harengus","species"
"929","ASV_0858","Sprattus sprattus","species"
"930","ASV_0859","Ammodytes","genus"
"931","ASV_0860","Eleginus gracilis","species"
"932","ASV_0862","Stichaeidae","family"
"933","ASV_0864","Gadidae","family"
"934","ASV_0865","Pleuronectidae","family"
"935","ASV_0867","Oncorhynchus tshawytscha","species"
"936","ASV_0868","Oncorhynchus tshawytscha","species"
"937","ASV_0869","Eleginus gracilis","species"
"938","ASV_0870","Clupea pallasii","species"
"939","ASV_0870","Clupea harengus","species"
"940","ASV_0870","Sprattus sprattus","species"
"941","ASV_0872","Anarhichas orientalis","species"
"942","ASV_0874","Oncorhynchus","genus"
"943","ASV_0875","Oncorhynchus","genus"
"944","ASV_0876","Gadus chalcogrammus","species"
"945","ASV_0878","Gadidae","family"
"946","ASV_0879","Gadus chalcogrammus","species"
"947","ASV_0881","Stichaeidae","family"
"948","ASV_0882","Oncorhynchus tshawytscha","species"
"949","ASV_0883","Clupea pallasii","species"
"950","ASV_0883","Clupea harengus","species"
"951","ASV_0883","Sprattus sprattus","species"
"952","ASV_0884","Pleuronectidae","family"
"953","ASV_0885","Oncorhynchus","genus"
"954","ASV_0886","Gadidae","family"
"955","ASV_0888","Gadidae","family"
"956","ASV_0889","Osmerus mordax","species"
"957","ASV_0890","Oncorhynchus tshawytscha","species"
"958","ASV_0891","Oncorhynchus","genus"
"959","ASV_0892","Eleginus gracilis","species"
"960","ASV_0893","Balaenoptera physalus","species"
"961","ASV_0894","Ammodytes","genus"
"962","ASV_0895","Oncorhynchus tshawytscha","species"
"963","ASV_0896","Ammodytes","genus"
"964","ASV_0897","Oncorhynchus","genus"
"965","ASV_0898","Pleuronectidae","family"
"966","ASV_0899","Gadus chalcogrammus","species"
"967","ASV_0899","Gadus morhua","species"
"968","ASV_0900","Gadus chalcogrammus","species"
"969","ASV_0901","Delphinapterus leucas","species"
"970","ASV_0902","Gadidae","family"
"971","ASV_0903","Pleuronectidae","family"
"972","ASV_0904","Oncorhynchus","genus"
"973","ASV_0905","Gadus","genus"
"974","ASV_0906","Oncorhynchus","genus"
"975","ASV_0907","Gadidae","family"
"976","ASV_0908","Pleuronectidae","family"
"977","ASV_0909","Pleuronectidae","family"
"978","ASV_0910","Pungitius laevis","species"
"979","ASV_0910","Pungitius pungitius","species"
"980","ASV_0910","Pungitius sinensis","species"
"981","ASV_0911","Oncorhynchus","genus"
"982","ASV_0912","Clupea pallasii","species"
"983","ASV_0912","Clupea harengus","species"
"984","ASV_0912","Sprattus sprattus","species"
"985","ASV_0913","Gadus chalcogrammus","species"
"986","ASV_0914","Oncorhynchus","genus"
"987","ASV_0915","Gadidae","family"
"988","ASV_0916","Oncorhynchus","genus"
"989","ASV_0917","Gadidae","family"
"990","ASV_0919","Mallotus villosus","species"
"991","ASV_0920","Hexagrammos","genus"
"992","ASV_0921","Oncorhynchus","genus"
"993","ASV_0922","Stichaeus punctatus","species"
"994","ASV_0925","Oncorhynchus","genus"
"995","ASV_0926","Oncorhynchus","genus"
"996","ASV_0927","Eumesogrammus praecisus","species"
"997","ASV_0927","Ulvaria subbifurcata","species"
"998","ASV_0927","Stichaeopsis nevelskoi","species"
"999","ASV_0928","Gadidae","family"
"1000","ASV_0929","Oncorhynchus","genus"
"1001","ASV_0931","Gadidae","family"
"1002","ASV_0933","Oncorhynchus","genus"
"1003","ASV_0934","Pleuronectidae","family"
"1004","ASV_0935","Clupea harengus","species"
"1005","ASV_0935","Clupea pallasii","species"
"1006","ASV_0935","Sprattus sprattus","species"
"1007","ASV_0936","Myoxocephalus","genus"
"1008","ASV_0937","Gadidae","family"
"1009","ASV_0938","Gadidae","family"
"1010","ASV_0939","Oncorhynchus","genus"
"1011","ASV_0940","Oncorhynchus","genus"
"1012","ASV_0942","Oncorhynchus kisutch","species"
"1013","ASV_0943","Ammodytes","genus"
"1014","ASV_0944","Gadidae","family"
"1015","ASV_0945","Oncorhynchus kisutch","species"
"1016","ASV_0946","Ammodytes","genus"
"1017","ASV_0948","Pleuronectidae","family"
"1018","ASV_0949","Oncorhynchus kisutch","species"
"1019","ASV_0950","Gadidae","family"
"1020","ASV_0951","Oncorhynchus","genus"
"1021","ASV_0952","Oncorhynchus","genus"
"1022","ASV_0954","Gadus","genus"
"1023","ASV_0955","Gadidae","family"
"1024","ASV_0957","Clupea pallasii","species"
"1025","ASV_0957","Clupea harengus","species"
"1026","ASV_0957","Sprattus sprattus","species"
"1027","ASV_0958","Oncorhynchus","genus"
"1028","ASV_0959","Pleuronectidae","family"
"1029","ASV_0961","Oncorhynchus tshawytscha","species"
"1030","ASV_0962","Pholis","genus"
"1031","ASV_0963","Clupea pallasii","species"
"1032","ASV_0963","Clupea harengus","species"
"1033","ASV_0963","Sprattus sprattus","species"
"1034","ASV_0964","Gadidae","family"
"1035","ASV_0966","Oncorhynchus kisutch","species"
"1036","ASV_0967","Gadus","genus"
"1037","ASV_0968","Zaprora silenus","species"
"1038","ASV_0969","Oncorhynchus tshawytscha","species"
"1039","ASV_0970","Hexagrammos","genus"
"1040","ASV_0971","Gadus","genus"
"1041","ASV_0973","Oncorhynchus","genus"
"1042","ASV_0975","Pholis","genus"
"1043","ASV_0976","Clupea pallasii","species"
"1044","ASV_0976","Clupea harengus","species"
"1045","ASV_0976","Sprattus sprattus","species"
"1046","ASV_0977","Oncorhynchus","genus"
"1047","ASV_0978","Bathymaster","genus"
"1048","ASV_0979","Clupea pallasii","species"
"1049","ASV_0979","Clupea harengus","species"
"1050","ASV_0979","Sprattus sprattus","species"
"1051","ASV_0980","Gadidae","family"
"1052","ASV_0981","Hexagrammos","genus"
"1053","ASV_0982","Oncorhynchus","genus"
"1054","ASV_0983","Gadidae","family"
"1055","ASV_0984","Clupea pallasii","species"
"1056","ASV_0984","Clupea harengus","species"
"1057","ASV_0984","Sprattus sprattus","species"
"1058","ASV_0986","Pleurogrammus monopterygius","species"
"1059","ASV_0988","Clupea pallasii","species"
"1060","ASV_0988","Clupea harengus","species"
"1061","ASV_0988","Sprattus sprattus","species"
"1062","ASV_0989","Liparis","genus"
"1063","ASV_0990","Lycodes fasciatus","species"
"1064","ASV_0990","Lycodes palearis","species"
"1065","ASV_0991","Mallotus villosus","species"
"1066","ASV_0992","Gadidae","family"
"1067","ASV_0993","Oncorhynchus tshawytscha","species"
"1068","ASV_0994","Mallotus villosus","species"
"1069","ASV_0995","Oncorhynchus","genus"
"1070","ASV_0996","Oncorhynchus","genus"
"1071","ASV_0997","Stichaeidae","family"
"1072","ASV_0998","Oncorhynchus","genus"
"1073","ASV_0999","Oncorhynchus tshawytscha","species"
"1074","ASV_1000","Thaleichthys pacificus","species"
"1075","ASV_1000","Spirinchus lanceolatus","species"
"1076","ASV_1001","Osmerus mordax","species"
"1077","ASV_1002","Anoplarchus","genus"
"1078","ASV_1003","Pleuronectidae","family"
"1079","ASV_1004","Mallotus villosus","species"
"1080","ASV_1005","Xiphister","genus"
"1081","ASV_1006","Ammodytes","genus"
"1082","ASV_1007","Eschrichtius robustus","species"
"1083","ASV_1008","Gadidae","family"
"1084","ASV_1009","Oncorhynchus","genus"
"1085","ASV_1010","Pholis","genus"
"1086","ASV_1011","Hexagrammos","genus"
"1087","ASV_1012","Oncorhynchus tshawytscha","species"
"1088","ASV_1013","Pleuronectidae","family"
"1089","ASV_1014","Pleuronectidae","family"
"1090","ASV_1015","Oncorhynchus tshawytscha","species"
"1091","ASV_1016","Gadidae","family"
"1092","ASV_1017","Osmerus mordax","species"
"1093","ASV_1018","Oncorhynchus","genus"
"1094","ASV_1019","Pleuronectidae","family"
"1095","ASV_1020","Gadus","genus"
"1096","ASV_1021","Mallotus villosus","species"
"1097","ASV_1022","Gadus chalcogrammus","species"
"1098","ASV_1023","Clupea harengus","species"
"1099","ASV_1023","Clupea pallasii","species"
"1100","ASV_1023","Sprattus sprattus","species"
"1101","ASV_1025","Oncorhynchus","genus"
"1102","ASV_1026","Clupea harengus","species"
"1103","ASV_1026","Clupea pallasii","species"
"1104","ASV_1026","Sprattus sprattus","species"
"1105","ASV_1027","Bathymaster","genus"
"1106","ASV_1028","Pleuronectidae","family"
"1107","ASV_1029","Lycodes","genus"
"1108","ASV_1030","Oncorhynchus","genus"
"1109","ASV_1031","Oncorhynchus","genus"
"1110","ASV_1032","Hexagrammos","genus"
"1111","ASV_1033","Gasterosteus aculeatus","species"
"1112","ASV_1033","Gasterosteus nipponicus","species"
"1113","ASV_1035","Gadidae","family"
"1114","ASV_1037","Gadidae","family"
"1115","ASV_1038","Boreogadus saida","species"
"1116","ASV_1039","Myoxocephalus","genus"
"1117","ASV_1040","Mallotus villosus","species"
"1118","ASV_1041","Gadidae","family"
"1119","ASV_1042","Gadidae","family"
"1120","ASV_1043","Oncorhynchus","genus"
"1121","ASV_1044","Clupea pallasii","species"
"1122","ASV_1044","Clupea harengus","species"
"1123","ASV_1044","Sprattus sprattus","species"
"1124","ASV_1045","Gadidae","family"
"1125","ASV_1046","Artedius lateralis","species"
"1126","ASV_1047","Anoplarchus","genus"
"1127","ASV_1048","Gadus","genus"
"1128","ASV_1049","Oncorhynchus tshawytscha","species"
"1129","ASV_1050","Eleginus gracilis","species"
"1130","ASV_1051","Gadidae","family"
"1131","ASV_1052","Pleuronectidae","family"
"1132","ASV_1053","Gadus","genus"
"1133","ASV_1054","Oncorhynchus","genus"
"1134","ASV_1055","Stichaeidae","family"
"1135","ASV_1058","Gadus","genus"
"1136","ASV_1059","Mallotus villosus","species"
"1137","ASV_1061","Gadus chalcogrammus","species"
"1138","ASV_1062","Oncorhynchus tshawytscha","species"
"1139","ASV_1063","Oncorhynchus","genus"
"1140","ASV_1064","Osmerus mordax","species"
"1141","ASV_1065","Gadus","genus"
"1142","ASV_1066","Oncorhynchus","genus"
"1143","ASV_1067","Gasterosteus aculeatus","species"
"1144","ASV_1068","Gadidae","family"
"1145","ASV_1069","Gadidae","family"
"1146","ASV_1071","Gasterosteus aculeatus","species"
"1147","ASV_1072","Gadidae","family"
"1148","ASV_1073","Pleuronectidae","family"
"1149","ASV_1078","Clupea harengus","species"
"1150","ASV_1078","Clupea pallasii","species"
"1151","ASV_1078","Sprattus sprattus","species"
"1152","ASV_1079","Gadidae","family"
"1153","ASV_1080","Oncorhynchus","genus"
"1154","ASV_1082","Syngnathus californiensis","species"
"1155","ASV_1082","Syngnathus euchrous","species"
"1156","ASV_1082","Syngnathus leptorhynchus","species"
"1157","ASV_1082","Syngnathus exilis","species"
"1158","ASV_1083","Pleuronectidae","family"
"1159","ASV_1084","Eleginus gracilis","species"
"1160","ASV_1085","Gadidae","family"
"1161","ASV_1087","Callorhinus ursinus","species"
"1162","ASV_1088","Lycodes","genus"
"1163","ASV_1090","Clupea pallasii","species"
"1164","ASV_1090","Clupea harengus","species"
"1165","ASV_1090","Sprattus sprattus","species"
"1166","ASV_1091","Oncorhynchus tshawytscha","species"
"1167","ASV_1092","Gadidae","family"
"1168","ASV_1093","Oncorhynchus","genus"
"1169","ASV_1094","Stichaeidae","family"
"1170","ASV_1095","Clupea harengus","species"
"1171","ASV_1095","Clupea pallasii","species"
"1172","ASV_1095","Sprattus sprattus","species"
"1173","ASV_1096","Gadidae","family"
"1174","ASV_1097","Gadus","genus"
"1175","ASV_1098","Osmerus mordax","species"
"1176","ASV_1099","Gadidae","family"
"1177","ASV_1100","Oncorhynchus","genus"
"1178","ASV_1101","Gadidae","family"
"1179","ASV_1102","Clupea pallasii","species"
"1180","ASV_1102","Clupea harengus","species"
"1181","ASV_1102","Sprattus sprattus","species"
"1182","ASV_1103","Clupea pallasii","species"
"1183","ASV_1103","Clupea harengus","species"
"1184","ASV_1103","Sprattus sprattus","species"
"1185","ASV_1104","Oncorhynchus","genus"
"1186","ASV_1105","Stichaeidae","family"
"1187","ASV_1106","Pleuronectidae","family"
"1188","ASV_1107","Artediellus","genus"
"1189","ASV_1108","Osmerus mordax","species"
"1190","ASV_1110","Artedius fenestralis","species"
"1191","ASV_1111","Clupea pallasii","species"
"1192","ASV_1111","Clupea harengus","species"
"1193","ASV_1111","Sprattus sprattus","species"
"1194","ASV_1112","Clupea pallasii","species"
"1195","ASV_1112","Clupea harengus","species"
"1196","ASV_1112","Sprattus sprattus","species"
"1197","ASV_1113","Clupea pallasii","species"
"1198","ASV_1113","Clupea harengus","species"
"1199","ASV_1113","Sprattus sprattus","species"
"1200","ASV_1114","Ammodytes","genus"
"1201","ASV_1115","Oncorhynchus","genus"
"1202","ASV_1116","Eleginus gracilis","species"
"1203","ASV_1117","Gadidae","family"
"1204","ASV_1119","Oncorhynchus","genus"
"1205","ASV_1120","Gadidae","family"
"1206","ASV_1121","Pleuronectidae","family"
"1207","ASV_1122","Gadidae","family"
"1208","ASV_1123","Gadus","genus"
"1209","ASV_1124","Clupea pallasii","species"
"1210","ASV_1124","Clupea harengus","species"
"1211","ASV_1124","Sprattus sprattus","species"
"1212","ASV_1125","Gadus chalcogrammus","species"
"1213","ASV_1126","Ammodytes","genus"
"1214","ASV_1127","Hypsagonus quadricornis","species"
"1215","ASV_1127","Hypsagonus corniger","species"
"1216","ASV_1129","Pleurogrammus monopterygius","species"
"1217","ASV_1130","Osmerus mordax","species"
"1218","ASV_1131","Clupea pallasii","species"
"1219","ASV_1131","Clupea harengus","species"
"1220","ASV_1131","Sprattus sprattus","species"
"1221","ASV_1132","Myoxocephalus","genus"
"1222","ASV_1133","Clupea pallasii","species"
"1223","ASV_1133","Clupea harengus","species"
"1224","ASV_1133","Sprattus sprattus","species"
"1225","ASV_1134","Stichaeidae","family"
"1226","ASV_1135","Clupea pallasii","species"
"1227","ASV_1135","Clupea harengus","species"
"1228","ASV_1135","Sprattus sprattus","species"
"1229","ASV_1136","Lepidopsetta","genus"
"1230","ASV_1137","Gadidae","family"
"1231","ASV_1138","Oncorhynchus","genus"
"1232","ASV_1139","Oncorhynchus tshawytscha","species"
"1233","ASV_1140","Gadus chalcogrammus","species"
"1234","ASV_1141","Oncorhynchus","genus"
"1235","ASV_1142","Ammodytes","genus"
"1236","ASV_1144","Clupea harengus","species"
"1237","ASV_1144","Clupea pallasii","species"
"1238","ASV_1144","Sprattus sprattus","species"
"1239","ASV_1145","Gadus","genus"
"1240","ASV_1146","Ammodytes","genus"
"1241","ASV_1149","Clupea pallasii","species"
"1242","ASV_1149","Clupea harengus","species"
"1243","ASV_1149","Sprattus sprattus","species"
"1244","ASV_1150","Oncorhynchus","genus"
"1245","ASV_1151","Oncorhynchus","genus"
"1246","ASV_1153","Ammodytes","genus"
"1247","ASV_1154","Clupea pallasii","species"
"1248","ASV_1154","Clupea harengus","species"
"1249","ASV_1154","Sprattus sprattus","species"
"1250","ASV_1155","Pungitius laevis","species"
"1251","ASV_1155","Pungitius pungitius","species"
"1252","ASV_1155","Pungitius sinensis","species"
"1253","ASV_1156","Oncorhynchus","genus"
"1254","ASV_1158","Oncorhynchus kisutch","species"
"1255","ASV_1159","Oncorhynchus tshawytscha","species"
"1256","ASV_1160","Oncorhynchus tshawytscha","species"
"1257","ASV_1161","Gadidae","family"
"1258","ASV_1167","Oncorhynchus","genus"
